"Name","Angle","Shift X","Shift Y","Avg. Mean IoU"
"rich-shadow-319","3.14","30","20","0.581"
"amber-forest-320","3.14","30","30","0.588"
"eternal-fog-321","3.14","30","40","0.592"
"playful-surf-322","3.14","30","50","0.586"
"bright-plasma-323","3.14","30","60","0.597"
"effortless-pond-324","3.14","40","0","0.576"
"polar-silence-325","3.14","40","10","0.585"
"sunny-surf-326","3.14","40","20","0.579"
"chocolate-glitter-327","3.14","40","30","0.585"
"copper-star-328","3.14","40","40","0.589"
"fast-field-329","3.14","40","50","0.583"
"deft-capybara-330","3.14","40","60","0.59"
"devout-sound-331","3.14","50","0","0.579"
"warm-dragon-332","3.14","50","10","0.586"
"balmy-microwave-333","3.14","50","20","0.58"
"upbeat-night-334","3.14","50","30","0.587"
"earnest-thunder-335","3.14","50","40","0.589"
"good-forest-336","3.14","50","50","0.587"
"quiet-dew-337","3.14","50","60","0.589"
"serene-shadow-338","3.14","60","0","0.584"
"vibrant-sea-339","3.14","60","10","0.591"
"lilac-glitter-340","3.14","60","20","0.591"
"happy-river-341","3.14","60","30","0.592"
"sage-salad-342","3.14","60","40","0.595"
"magic-dew-343","3.14","60","50","0.591"
"lunar-cosmos-344","3.14","60","60","0.599"
