"Name","Angle","Shift_X","Shift_Y","IoU"
"dark-snow-327","0.1","40","40","0.785"
"swift-pine-326","0.1","40","30","0.787"
"laced-fog-325","0.1","40","20","0.784"
"avid-fire-324","0.1","40","10","0.783"
"dutiful-planet-323","0.1","40","0","0.784"
"wobbly-sun-322","0.1","30","60","0.789"
"glorious-sunset-321","0.1","30","50","0.786"
"pious-planet-320","0.1","30","40","0.785"
"driven-thunder-319","0.1","30","30","0.786"
"fanciful-pine-318","0.1","30","20","0.785"
"fresh-pyramid-317","0.1","30","10","0.783"
"swift-firefly-316","0.1","30","0","0.783"
"fast-river-315","0.1","20","60","0.785"
"rare-paper-314","0.1","20","50","0.786"
"dry-rain-313","0.1","20","40","0.784"
"crisp-galaxy-312","0.1","20","30","0.785"
"lively-flower-311","0.1","20","20","0.783"
"celestial-wildflower-310","0.1","20","10","0.782"
"glowing-paper-309","0.1","20","0","0.78"
"smooth-aardvark-308","0.1","10","60","0.785"
"kind-fire-307","0.1","10","50","0.783"
"robust-dew-306","0.1","10","40","0.783"
"grateful-spaceship-305","0.1","10","30","0.784"
"exalted-sound-304","0.1","10","20","0.781"
"rich-plasma-303","0.1","10","10","0.779"
"upbeat-silence-302","0.1","10","0","0.781"
"astral-rain-301","0.1","0","60","0.782"
"fluent-sun-300","0.1","0","50","0.783"
"vivid-valley-299","0.1","0","40","0.781"
"swift-water-298","0.1","0","30","0.781"
"restful-grass-297","0.1","0","20","0.778"
"electric-river-296","0.1","0","10","0.779"
"giddy-waterfall-295","0.1","0","0","0.778"
"wandering-plant-294","0","60","60","0.791"
"resilient-cosmos-293","0","60","50","0.79"
"helpful-hill-292","0","60","40","0.791"
"summer-moon-291","0","60","30","0.793"
"flowing-water-290","0","60","20","0.791"
"pretty-waterfall-289","0","60","10","0.79"
"vivid-haze-288","0","60","0","0.788"
"giddy-shape-287","0","50","60","0.792"
"firm-galaxy-286","0","50","50","0.79"
"young-puddle-285","0","50","40","0.792"
"breezy-brook-284","0","50","30","0.794"
"solar-shape-283","0","50","20","0.791"
"neat-wave-282","0","50","10","0.788"
"graceful-dust-281","0","50","0","0.786"
"sandy-dew-280","0","40","60","0.792"
"fast-grass-279","0","40","50","0.787"
"solar-oath-278","0","40","40","0.789"
"ethereal-pond-277","0","40","30","0.793"
"dandy-universe-276","0","40","20","0.789"
"young-brook-275","0","40","10","0.787"
"classic-firebrand-274","0","40","0","0.786"
"winter-sponge-273","0","30","60","0.791"
"peachy-galaxy-272","0","30","50","0.789"
"good-firefly-271","0","30","40","0.791"
"swept-sound-270","0","30","30","0.791"
"summer-dust-269","0","30","20","0.787"
"lunar-dragon-268","0","30","10","0.789"
"mild-brook-267","0","30","0","0.785"
"zany-dragon-266","0","20","60","0.794"
"clear-vortex-265","0","20","50","0.792"
"denim-galaxy-264","0","20","40","0.794"
"volcanic-snowball-263","0","20","30","0.795"
"frosty-dew-262","0","20","20","0.791"
"ethereal-vortex-261","0","20","10","0.791"
"atomic-pyramid-260","0","20","0","0.791"
"whole-wind-259","0","10","60","0.793"
"northern-mountain-258","0","10","50","0.788"
"wild-sun-257","0","10","40","0.793"
"electric-glitter-256","0","10","30","0.791"
"tough-planet-255","0","10","20","0.789"
"fluent-dew-254","0","10","10","0.788"
"stellar-moon-253","0","10","0","0.787"
"toasty-flower-252","0","0","60","0.791"
"fresh-leaf-251","0","0","50","0.788"
"peachy-pyramid-250","0","0","40","0.79"
"trim-hill-249","0","0","30","0.792"
"hearty-eon-248","0","0","20","0.787"
"summer-violet-247","0","0","10","0.786"
"stellar-silence-246","0","0","0","0.784"
"devout-plasma-245","-0.1","60","60","0.789"
"resilient-wind-244","-0.1","60","50","0.789"
"peachy-cherry-243","-0.1","60","40","0.788"
"cool-resonance-242","-0.1","60","30","0.789"
"peachy-leaf-241","-0.1","60","20","0.787"
"winter-jazz-240","-0.1","60","10","0.786"
"generous-monkey-239","-0.1","60","0","0.785"
"glowing-frog-238","-0.1","50","60","0.787"
"mild-star-237","-0.1","50","50","0.786"
"pleasant-haze-236","-0.1","50","40","0.789"
"devout-pyramid-235","-0.1","50","30","0.787"
"playful-field-234","-0.1","50","20","0.785"
"sage-forest-233","-0.1","50","10","0.784"
"soft-sound-232","-0.1","50","0","0.782"
"avid-energy-231","-0.1","40","60","0.788"
"laced-cherry-230","-0.1","40","50","0.784"
"dashing-disco-229","-0.1","40","40","0.785"
"proud-vortex-228","-0.1","40","30","0.786"
"twilight-sponge-227","-0.1","40","20","0.786"
"playful-frost-226","-0.1","40","10","0.783"
"restful-breeze-225","-0.1","40","0","0.781"
"copper-monkey-224","-0.1","30","60","0.786"
"graceful-star-223","-0.1","30","50","0.785"
"chocolate-violet-222","-0.1","30","40","0.787"
"feasible-frost-221","-0.1","30","30","0.786"
"fragrant-microwave-220","-0.1","30","20","0.786"
"noble-flower-219","-0.1","30","10","0.782"
"solar-hill-218","-0.1","30","0","0.782"
"generous-frost-217","-0.1","20","60","0.788"
"curious-serenity-216","-0.1","20","50","0.787"
"divine-spaceship-215","-0.1","20","40","0.788"
"spring-morning-214","-0.1","20","30","0.787"
"elated-universe-213","-0.1","20","20","0.785"
"glad-jazz-212","-0.1","20","10","0.784"
"mild-dawn-211","-0.1","20","0","0.781"
"royal-spaceship-210","-0.1","10","60","0.789"
"trim-blaze-209","-0.1","10","50","0.787"
"silvery-brook-208","-0.1","10","40","0.789"
"morning-moon-207","-0.1","10","30","0.787"
"daily-energy-206","-0.1","10","20","0.787"
"confused-rain-205","-0.1","10","10","0.783"
"jumping-galaxy-204","-0.1","10","0","0.78"
"fiery-disco-203","-0.1","0","60","0.785"
"iconic-surf-202","-0.1","0","50","0.784"
"fast-rain-201","-0.1","0","40","0.785"
"bumbling-dust-200","-0.1","0","30","0.784"
"swift-haze-199","-0.1","0","20","0.784"
"cosmic-jazz-198","-0.1","0","10","0.779"
"peach-paper-197","-0.1","0","0","0.777"
"cool-rain-196","-0.2","60","60","0.783"
"stellar-universe-195","-0.2","60","50","0.779"
"smooth-dragon-194","-0.2","60","40","0.776"
"twilight-durian-193","-0.2","60","30","0.78"
"confused-moon-192","-0.2","60","20","0.776"
"happy-night-191","-0.2","60","10","0.776"
"dashing-glade-190","-0.2","60","0","0.776"
"prime-durian-189","-0.2","50","60","0.777"
"graceful-smoke-188","-0.2","50","50","0.776"
