"Name","amsgrad","lambda_L2","lambda_tv","avg_aug_SR_iou","avg_standard_iou"
"restful-sweep-18","true","13","5.5","0.8384857576531354","0.8290217668046524"
"jolly-sweep-24","true","13","5.5","0.8384857576531354","0.8290217668046524"
"sweet-sweep-17","true","13","5.5","0.8384857576531354","0.8290217668046524"
"devoted-sweep-20","true","13","5.5","0.8384857576531354","0.8290217668046524"
"genial-sweep-19","true","13","5.5","0.8384857576531354","0.8290217668046524"
"graceful-sweep-14","true","13","5.5","0.8384857576531354","0.8290217668046524"
"happy-sweep-23","true","13","5.5","0.8384857576531354","0.8290217668046524"
"legendary-sweep-22","true","13","5.5","0.8384857576531354","0.8290217668046524"
"serene-sweep-15","true","13","5.5","0.8384857576531354","0.8290217668046524"
"serene-sweep-10","true","13","5.5","0.8384857576531354","0.8290217668046524"
"deep-sweep-21","true","13","5.5","0.8384857576531354","0.8290217668046524"
"eager-sweep-13","true","12.5","5.5","0.8384856782245118","0.8290217668046524"
"fiery-sweep-26","true","12.5","5.5","0.8384856782245118","0.8290217668046524"
"robust-sweep-16","true","12.5","5.5","0.8384856782245118","0.8290217668046524"
"elated-sweep-8","true","13.5","6","0.8384822248921575","0.8290217668046524"
"glamorous-sweep-73","true","10","4.5","0.8384816806767382","0.8290217668046524"
"amber-sweep-42","true","10","4.5","0.8384816806767382","0.8290217668046524"
"scarlet-sweep-5","true","15","6","0.8384815726874636","0.8290217668046524"
"toasty-sweep-34","true","10","4","0.8384815726874636","0.8290217668046524"
"golden-sweep-53","true","10.5","4","0.8384808687220768","0.8290217668046524"
"happy-sweep-12","true","13.5","5.5","0.8384802979551101","0.8290217668046524"
"royal-sweep-9","true","12","5","0.8384787820743456","0.8290217668046524"
"skilled-sweep-1","true","14.5","5.5","0.8384782742982274","0.8290217668046524"
"dandy-sweep-30","true","6.5","3","0.8384762765268062","0.8290217668046524"
"twilight-sweep-25","true","13","6","0.8384762765268062","0.8290217668046524"
"snowy-sweep-28","true","14.5","6","0.838472536133583","0.8290217668046524"
"sweepy-sweep-31","true","8","3","0.838471844741874","0.8290217668046524"
"rose-sweep-11","true","13","5","0.8384717909639262","0.8290217668046524"
"ethereal-sweep-49","true","8.5","3.5","0.8384716594998145","0.8290217668046524"
"classic-sweep-33","true","11","4","0.8384716498361597","0.8290217668046524"
"balmy-sweep-35","true","10.5","5","0.8384710705246612","0.8290217668046524"
"classic-sweep-37","true","11","4.5","0.8384696146829809","0.8290217668046524"
"peachy-sweep-29","true","10","3.5","0.8384664418327233","0.8290217668046524"
"denim-sweep-38","true","9.5","4.5","0.8384658538023042","0.8290217668046524"
"divine-sweep-71","true","15","5","0.8384591324932973","0.8290217668046524"
"rosy-sweep-40","true","6.5","3.5","0.8384563484722478","0.8290217668046524"
"polar-sweep-36","true","15","4.5","0.8384464511398412","0.8290217668046524"
"proud-sweep-4","true","11","6","0.8384464037790746","0.8290217668046524"
"icy-sweep-7","true","7","2","0.838440852183918","0.8290217668046524"
"rosy-sweep-2","true","7.5","4.5","0.8384176801143426","0.8290217668046524"
"quiet-sweep-44","true","9.5","2","0.8383914417044446","0.8290217668046524"
"copper-sweep-6","true","6.5","6","0.838327623585794","0.8290217668046524"
"young-sweep-3","true","15","2","0.83827469537847","0.8290217668046524"
