"Name","Runtime","Notes","State","Tags","lambda_tv","lambda_L2","lambda_L1","num_samples","decay_rate","decay_steps","learning_rate","num_iter","num_aug","aug_iou_multiple","aug_iou_single","standard_iou_multiple","standard_iou_single","max_iou","mean_iou"
"snowy-sweep-65","1328","-","finished","","0.25","0.8","0.30000000000000004","500","0.3","60","0.001","300","100","0.8771754542416516","0.8377588917156014","0.8724168970462777","0.8290217668046524","0.823355100490164","0.8370777074448837"
"dandy-sweep-44","1269","-","finished","","0.8","0.30000000000000004","0.2","500","0.3","60","0.001","300","100","0.8772155619778886","0.8377559309745629","0.8724168970462777","0.8290217668046524","0.823355100490164","0.8370777074448837"
"upbeat-sweep-32","1259","-","finished","","0.59","0.985","0","500","0.3","60","0.001","300","100","0.8766451481151637","0.8377066712589035","0.8724168970462777","0.8290217668046524","0.823355100490164","0.8370777074448837"
"lemon-sweep-29","1260","-","finished","","0.5750000000000001","0","0","500","0.3","60","0.001","300","100","0.8773602149003445","0.8376717263174672","0.8724168970462777","0.8290217668046524","0.823355100490164","0.8370777074448837"
"kind-sweep-45","1269","-","finished","","0.8","0","0.2","500","0.3","60","0.001","300","100","0.8774107410213839","0.8376486118203222","0.8724168970462777","0.8290217668046524","0.823355100490164","0.8370777074448837"
"eager-sweep-22","1261","-","finished","","0.65","0.65","0.2","500","0.3","60","0.001","300","100","0.8768706216066873","0.8376110908710687","0.8724168970462777","0.8290217668046524","0.823355100490164","0.8370777074448837"
"vibrant-sweep-7","1249","-","finished","","0.93","0.995","0","500","0.3","60","0.001","300","100","0.8766466650718518","0.8376090737294514","0.8724168970462777","0.8290217668046524","0.823355100490164","0.8370777074448837"
"feasible-sweep-57","1324","-","finished","","1.05","0.05","0.05","500","0.3","60","0.001","300","100","0.8772766664751366","0.8375993744159063","0.8724168970462777","0.8290217668046524","0.823355100490164","0.8370777074448837"
"fearless-sweep-39","1254","-","finished","","1.1","0.9","0","500","0.3","60","0.001","300","100","0.876781669096797","0.8375972304431931","0.8724168970462777","0.8290217668046524","0.823355100490164","0.8370777074448837"
"likely-sweep-36","1270","-","finished","","0","1.4500000000000002","0.25","500","0.3","60","0.001","300","100","0.8769739157972347","0.8375628934119281","0.8724168970462777","0.8290217668046524","0.823355100490164","0.8370777074448837"
"restful-sweep-10","1250","-","finished","","0.45","1.35","0","500","0.3","60","0.001","300","100","0.8762736534637724","0.8375184483685935","0.8724168970462777","0.8290217668046524","0.823355100490164","0.8370777074448837"
"different-sweep-14","1261","-","finished","","0.1","1.05","0.4","500","0.3","60","0.001","300","100","0.8770958920339356","0.8374858343216869","0.8724168970462777","0.8290217668046524","0.823355100490164","0.8370777074448837"
"glorious-sweep-38","1265","-","finished","","0.75","0.1","0.6000000000000001","500","0.3","60","0.001","300","100","0.8770829813716321","0.8374236805815835","0.8724168970462777","0.8290217668046524","0.823355100490164","0.8370777074448837"
"quiet-sweep-43","1257","-","finished","","0.9","1.4","0","500","0.3","60","0.001","300","100","0.8763511078640727","0.8374043858778777","0.8724168970462777","0.8290217668046524","0.823355100490164","0.8370777074448837"
"cerulean-sweep-56","1316","-","finished","","0.25","1.6","0.05","500","0.3","60","0.001","300","100","0.8761964399101213","0.8373816601169058","0.8724168970462777","0.8290217668046524","0.823355100490164","0.8370777074448837"
"fresh-sweep-24","1279","-","finished","","1.2000000000000002","0.25","0.1","500","0.3","60","0.001","300","100","0.876965451395246","0.8373433297482582","0.8724168970462777","0.8290217668046524","0.823355100490164","0.8370777074448837"
"hardy-sweep-66","1326","-","finished","","0.65","0.45","0.55","500","0.3","60","0.001","300","100","0.8768187254095767","0.8373193728092501","0.8724168970462777","0.8290217668046524","0.823355100490164","0.8370777074448837"
"driven-sweep-60","1324","-","finished","","1.35","1.2000000000000002","0","500","0.3","60","0.001","300","100","0.8766103300407826","0.8373131661262843","0.8724168970462777","0.8290217668046524","0.823355100490164","0.8370777074448837"
"jolly-sweep-6","1248","-","finished","","0.24","0.215","0","500","0.3","60","0.001","300","100","0.8770179195766173","0.8372249164160587","0.8724168970462777","0.8290217668046524","0.823355100490164","0.8370777074448837"
"revived-sweep-67","1343","-","finished","","1.35","0.75","0.05","500","0.3","60","0.001","300","100","0.8766664439709889","0.837211136738666","0.8724168970462777","0.8290217668046524","0.823355100490164","0.8370777074448837"
"balmy-sweep-8","1251","-","finished","","0.6000000000000001","1.85","0","500","0.3","60","0.001","300","100","0.8760196237604714","0.8372107193206015","0.8724168970462777","0.8290217668046524","0.823355100490164","0.8370777074448837"
"wild-sweep-58","1329","-","finished","","1.05","0","0.5","500","0.3","60","0.001","300","100","0.8768591892807028","0.8370510719991733","0.8724168970462777","0.8290217668046524","0.823355100490164","0.8370777074448837"
"quiet-sweep-7","1264","-","finished","","1.2000000000000002","1.95","0.05","500","0.3","60","0.001","300","100","0.8762894373335665","0.8370281803271705","0.8724168970462777","0.8290217668046524","0.823355100490164","0.8370777074448837"
"rosy-sweep-19","1331","-","finished","","0.30000000000000004","0","0.1","500","0.3","60","0.001","300","100","0.8769123826556163","0.837016115865323","0.8724168970462777","0.8290217668046524","0.823355100490164","0.8370777074448837"
"desert-sweep-9","1261","-","finished","","0.1","2","0.25","500","0.3","60","0.001","300","100","0.876001662290571","0.8369436337858827","0.8724168970462777","0.8290217668046524","0.823355100490164","0.8370777074448837"
"woven-sweep-46","1271","-","finished","","0.45","0.7000000000000001","0.8500000000000001","500","0.3","60","0.001","300","100","0.8762962984381402","0.8369258444526537","0.8724168970462777","0.8290217668046524","0.823355100490164","0.8370777074448837"
"resilient-sweep-71","1260","-","finished","","0.6000000000000001","1.25","0.5","500","0.3","60","0.001","300","100","0.8759922074919375","0.8368816658091601","0.8724168970462777","0.8290217668046524","0.823355100490164","0.8370777074448837"
"wild-sweep-51","1270","-","finished","","0.95","0.9","0.65","500","0.3","60","0.001","300","100","0.8762337257970114","0.8367790983680516","0.8724168970462777","0.8290217668046524","0.823355100490164","0.8370777074448837"
"soft-sweep-6","1264","-","finished","","1.35","1.55","0.30000000000000004","500","0.3","60","0.001","300","100","0.8761911067727096","0.8367314145844956","0.8724168970462777","0.8290217668046524","0.823355100490164","0.8370777074448837"
"valiant-sweep-48","1270","-","finished","","0","1.65","0.95","500","0.3","60","0.001","300","100","0.8761296860578186","0.8366661170520439","0.8724168970462777","0.8290217668046524","0.823355100490164","0.8370777074448837"
"solar-sweep-54","1268","-","finished","","0","1.1","1.4","500","0.3","60","0.001","300","100","0.8764196654834964","0.8365773561790011","0.8724168970462777","0.8290217668046524","0.823355100490164","0.8370777074448837"
"prime-sweep-41","1267","-","finished","","0.75","1.95","0.7000000000000001","500","0.3","60","0.001","300","100","0.8758445391405736","0.8364602636277371","0.8724168970462777","0.8290217668046524","0.823355100490164","0.8370777074448837"
"lunar-sweep-2","1261","-","finished","","1.1","0.4","1.25","500","0.3","60","0.001","300","100","0.8760666935836378","0.836298633965617","0.8724168970462777","0.8290217668046524","0.823355100490164","0.8370777074448837"
"unique-sweep-3","1262","-","finished","","1.75","1.1","0.30000000000000004","500","0.3","60","0.001","300","100","0.8760919057568035","0.8362986070413353","0.8724168970462777","0.8290217668046524","0.823355100490164","0.8370777074448837"
"ethereal-sweep-4","1259","-","finished","","1.1","0.35000000000000003","1.25","500","0.3","60","0.001","300","100","0.8761161487881179","0.8362929507975071","0.8724168970462777","0.8290217668046524","0.823355100490164","0.8370777074448837"
"radiant-sweep-61","1328","-","finished","","0.8","1.35","1.25","500","0.3","60","0.001","300","100","0.8758494433813971","0.8362688011742823","0.8724168970462777","0.8290217668046524","0.823355100490164","0.8370777074448837"
"sweepy-sweep-35","1260","-","finished","","1.9","0.1","0","500","0.3","60","0.001","300","100","0.8761709927742333","0.8361238682408557","0.8724168970462777","0.8290217668046524","0.823355100490164","0.8370777074448837"
"elated-sweep-31","1270","-","finished","","1.95","1.9","0.2","500","0.3","60","0.001","300","100","0.875962948183316","0.8361232980260939","0.8724168970462777","0.8290217668046524","0.823355100490164","0.8370777074448837"
"fallen-sweep-50","1269","-","finished","","0.15000000000000002","0.05","0.95","500","0.3","60","0.001","300","100","0.8764260884385792","0.8360774471042194","0.8724168970462777","0.8290217668046524","0.823355100490164","0.8370777074448837"
"still-sweep-26","1259","-","finished","","0.005","0.615","0","500","0.3","60","0.001","300","100","0.8761958789171811","0.8359716797546344","0.8724168970462777","0.8290217668046524","0.823355100490164","0.8370777074448837"
"crisp-sweep-55","1268","-","finished","","0.7000000000000001","1.05","1.9","500","0.3","60","0.001","300","100","0.8758228036948336","0.8359443095762228","0.8724168970462777","0.8290217668046524","0.823355100490164","0.8370777074448837"
"ruby-sweep-29","1273","-","finished","","0.15000000000000002","1.95","1.95","500","0.3","60","0.001","300","100","0.8756755733643349","0.8359016774081115","0.8724168970462777","0.8290217668046524","0.823355100490164","0.8370777074448837"
"easy-sweep-5","1260","-","finished","","1.65","0.45","0.8500000000000001","500","0.3","60","0.001","300","100","0.8758069965031331","0.8358357386465071","0.8724168970462777","0.8290217668046524","0.823355100490164","0.8370777074448837"
"dandy-sweep-20","1324","-","finished","","1.3","1.9","1.9","500","0.3","60","0.001","300","100","0.8756150249793797","0.8354350163883305","0.8724168970462777","0.8290217668046524","0.823355100490164","0.8370777074448837"
"cerulean-sweep-42","1267","-","finished","","1.85","2","1.4","500","0.3","60","0.001","300","100","0.8754847127667071","0.8351690578558791","0.8724168970462777","0.8290217668046524","0.823355100490164","0.8370777074448837"
"ancient-sweep-68","1387","-","finished","","0","0.4","0.5","500","0.3","60","0.001","300","100","0.8756433733093302","0.834881864381118","0.8724168970462777","0.8290217668046524","0.823355100490164","0.8370777074448837"
"crimson-sweep-2","1328","-","finished","","0","0.15000000000000002","1.95","500","0.3","60","0.001","300","100","0.8756372435218666","0.8346362730625696","0.8724168970462777","0.8290217668046524","0.823355100490164","0.8370777074448837"
"fancy-sweep-59","1331","-","finished","","2","1.3","1.95","500","0.3","60","0.001","300","100","0.8750832065436108","0.8344708843191758","0.8724168970462777","0.8290217668046524","0.823355100490164","0.8370777074448837"
"colorful-sweep-45","1233","-","finished","","0.035","0.005","0","500","0.3","60","0.001","300","100","0.875210898835817","0.8343851269750016","0.8724168970462777","0.8290217668046524","0.823355100490164","0.8370777074448837"
"cool-sweep-28","1268","-","finished","","2","0.05","1.95","500","0.3","60","0.001","300","100","0.8749797833618136","0.834139517764857","0.8724168970462777","0.8290217668046524","0.823355100490164","0.8370777074448837"
