"Angle","Shift_X","Shift_Y","mIoU"
"1.57","-80","-80","0.578"
"1.57","-80","-60","0.574"
"1.57","-80","-40","0.574"
"1.57","-80","-20","0.573"
"1.57","-80","0","0.574"
"1.57","-80","20","0.578"
"1.57","-80","40","0.578"
"1.57","-80","60","0.583"
"1.57","-80","80","0.58"
"1.57","-60","-80","0.574"
"1.57","-60","-60","0.569"
"1.57","-60","-40","0.57"
"1.57","-60","-20","0.569"
"1.57","-60","0","0.567"
"1.57","-60","20","0.573"
"1.57","-60","40","0.574"
"1.57","-60","60","0.578"
"1.57","-60","80","0.576"
"1.57","-40","-80","0.572"
"1.57","-40","-60","0.567"
"1.57","-40","-40","0.57"
"1.57","-40","-20","0.567"
"1.57","-40","0","0.565"
"1.57","-40","20","0.572"
"1.57","-40","40","0.575"
"1.57","-40","60","0.576"
"1.57","-40","80","0.577"
"1.57","-20","-80","0.573"
"1.57","-20","-60","0.568"
"1.57","-20","-40","0.569"
"1.57","-20","-20","0.567"
"1.57","-20","0","0.564"
"1.57","-20","20","0.572"
"1.57","-20","40","0.575"
"1.57","-20","60","0.577"
"1.57","-20","80","0.574"
"1.57","0","-80","0.573"
"1.57","0","-60","0.568"
"1.57","0","-40","0.569"
"1.57","0","-20","0.567"
"1.57","0","0","0.566"
"1.57","0","20","0.57"
"1.57","0","40","0.575"
"1.57","0","60","0.577"
"1.57","0","80","0.578"
"1.57","20","-80","0.576"
"1.57","20","-60","0.571"
"1.57","20","-40","0.573"
"1.57","20","-20","0.572"
"1.57","20","0","0.569"
"1.57","20","20","0.575"
"1.57","20","40","0.578"
"1.57","20","60","0.582"
"1.57","20","80","0.579"
"1.57","40","-80","0.577"
"1.57","40","-60","0.571"
"1.57","40","-40","0.574"
"1.57","40","-20","0.574"
"1.57","40","0","0.571"
"1.57","40","20","0.577"
"1.57","40","40","0.58"
"1.57","40","60","0.583"
"1.57","40","80","0.583"
"1.57","60","-80","0.582"
"1.57","60","-60","0.579"
"1.57","60","-40","0.579"
"1.57","60","-20","0.579"
"1.57","60","0","0.577"
"1.57","60","20","0.584"
"1.57","60","40","0.586"
"1.57","60","60","0.588"
"1.57","60","80","0.586"
"1.57","80","-80","0.585"
"1.57","80","-60","0.578"
"1.57","80","-40","0.58"
"1.57","80","-20","0.581"
"1.57","80","0","0.58"
"1.57","80","20","0.584"
"1.57","80","40","0.587"
"1.57","80","60","0.591"
"1.57","80","80","0.588"
"1.96","-80","-80","0.556"
"1.96","-80","-60","0.551"
"1.96","-80","-40","0.546"
"1.96","-80","-20","0.543"
"1.96","-80","0","0.544"
"1.96","-80","20","0.543"
"1.96","-80","40","0.544"
"1.96","-80","60","0.551"
"1.96","-80","80","0.552"
"1.96","-60","-80","0.551"
"1.96","-60","-60","0.549"
"1.96","-60","-40","0.545"
"1.96","-60","-20","0.54"
"1.96","-60","0","0.537"
"1.96","-60","20","0.538"
"1.96","-60","40","0.542"
"1.96","-60","60","0.548"
"1.96","-60","80","0.547"
"1.96","-40","-80","0.547"
"1.96","-40","-60","0.543"
"1.96","-40","-40","0.538"
"1.96","-40","-20","0.535"
"1.96","-40","0","0.533"
"1.96","-40","20","0.532"
"1.96","-40","40","0.535"
"1.96","-40","60","0.542"
"1.96","-40","80","0.545"
"1.96","-20","-80","0.552"
"1.96","-20","-60","0.544"
"1.96","-20","-40","0.54"
"1.96","-20","-20","0.536"
"1.96","-20","0","0.533"
"1.96","-20","20","0.534"
"1.96","-20","40","0.534"
"1.96","-20","60","0.543"
"1.96","-20","80","0.544"
"1.96","0","-80","0.547"
"1.96","0","-60","0.543"
"1.96","0","-40","0.538"
"1.96","0","-20","0.535"
"1.96","0","0","0.533"
"1.96","0","20","0.532"
"1.96","0","40","0.535"
"1.96","0","60","0.544"
"1.96","0","80","0.545"
"1.96","20","-80","0.546"
"1.96","20","-60","0.543"
"1.96","20","-40","0.541"
"1.96","20","-20","0.536"
"1.96","20","0","0.533"
"1.96","20","20","0.534"
"1.96","20","40","0.538"
"1.96","20","60","0.546"
"1.96","20","80","0.543"
"1.96","40","-80","0.55"
"1.96","40","-60","0.548"
"1.96","40","-40","0.541"
"1.96","40","-20","0.539"
"1.96","40","0","0.536"
"1.96","40","20","0.537"
"1.96","40","40","0.538"
"1.96","40","60","0.548"
"1.96","40","80","0.548"
"1.96","60","-80","0.555"
"1.96","60","-60","0.55"
"1.96","60","-40","0.546"
"1.96","60","-20","0.545"
"1.96","60","0","0.542"
"1.96","60","20","0.543"
"1.96","60","40","0.543"
"1.96","60","60","0.554"
"1.96","60","80","0.55"
"1.96","80","-80","0.555"
"1.96","80","-60","0.549"
"1.96","80","-40","0.549"
"1.96","80","-20","0.548"
"1.96","80","0","0.548"
"1.96","80","20","0.547"
"1.96","80","40","0.551"
"1.96","80","60","0.558"
"1.96","80","80","0.559"
"2.36","-80","-80","0.546"
"2.36","-80","-60","0.536"
"2.36","-80","-40","0.535"
"2.36","-80","-20","0.532"
"2.36","-80","0","0.532"
"2.36","-80","20","0.533"
"2.36","-80","40","0.537"
"2.36","-80","60","0.54"
"2.36","-80","80","0.543"
"2.36","-60","-80","0.545"
"2.36","-60","-60","0.535"
"2.36","-60","-40","0.533"
"2.36","-60","-20","0.529"
"2.36","-60","0","0.529"
"2.36","-60","20","0.529"
"2.36","-60","40","0.532"
"2.36","-60","60","0.535"
"2.36","-60","80","0.54"
"2.36","-40","-80","0.541"
"2.36","-40","-60","0.533"
"2.36","-40","-40","0.532"
"2.36","-40","-20","0.527"
"2.36","-40","0","0.526"
"2.36","-40","20","0.527"
"2.36","-40","40","0.532"
"2.36","-40","60","0.535"
"2.36","-40","80","0.537"
"2.36","-20","-80","0.539"
"2.36","-20","-60","0.532"
"2.36","-20","-40","0.53"
"2.36","-20","-20","0.526"
"2.36","-20","0","0.526"
"2.36","-20","20","0.525"
"2.36","-20","40","0.531"
"2.36","-20","60","0.534"
"2.36","-20","80","0.537"
"2.36","0","-80","0.54"
"2.36","0","-60","0.531"
"2.36","0","-40","0.529"
"2.36","0","-20","0.525"
"2.36","0","0","0.523"
"2.36","0","20","0.524"
"2.36","0","40","0.529"
"2.36","0","60","0.533"
"2.36","0","80","0.535"
"2.36","20","-80","0.543"
"2.36","20","-60","0.535"
"2.36","20","-40","0.534"
"2.36","20","-20","0.528"
"2.36","20","0","0.527"
"2.36","20","20","0.528"
"2.36","20","40","0.533"
"2.36","20","60","0.538"
"2.36","20","80","0.539"
"2.36","40","-80","0.543"
"2.36","40","-60","0.536"
"2.36","40","-40","0.537"
"2.36","40","-20","0.531"
"2.36","40","0","0.53"
"2.36","40","20","0.532"
"2.36","40","40","0.538"
"2.36","40","60","0.541"
"2.36","40","80","0.542"
"2.36","60","-80","0.547"
"2.36","60","-60","0.539"
"2.36","60","-40","0.538"
"2.36","60","-20","0.535"
"2.36","60","0","0.532"
"2.36","60","20","0.534"
"2.36","60","40","0.54"
"2.36","60","60","0.543"
"2.36","60","80","0.545"
"2.36","80","-80","0.551"
"2.36","80","-60","0.546"
"2.36","80","-40","0.541"
"2.36","80","-20","0.538"
"2.36","80","0","0.536"
"2.36","80","20","0.537"
"2.36","80","40","0.542"
"2.36","80","60","0.545"
"2.36","80","80","0.548"
"2.75","-80","-80","0.571"
"2.75","-80","-60","0.568"
"2.75","-80","-40","0.565"
"2.75","-80","-20","0.561"
"2.75","-80","0","0.557"
"2.75","-80","20","0.561"
"2.75","-80","40","0.565"
"2.75","-80","60","0.566"
"2.75","-80","80","0.566"
"2.75","-60","-80","0.568"
"2.75","-60","-60","0.565"
"2.75","-60","-40","0.56"
"2.75","-60","-20","0.553"
"2.75","-60","0","0.55"
"2.75","-60","20","0.556"
"2.75","-60","40","0.557"
"2.75","-60","60","0.558"
"2.75","-60","80","0.559"
"2.75","-40","-80","0.566"
"2.75","-40","-60","0.561"
"2.75","-40","-40","0.558"
"2.75","-40","-20","0.552"
"2.75","-40","0","0.55"
"2.75","-40","20","0.555"
"2.75","-40","40","0.557"
"2.75","-40","60","0.557"
"2.75","-40","80","0.561"
"2.75","-20","-80","0.563"
"2.75","-20","-60","0.558"
"2.75","-20","-40","0.555"
"2.75","-20","-20","0.548"
"2.75","-20","0","0.545"
"2.75","-20","20","0.551"
"2.75","-20","40","0.552"
"2.75","-20","60","0.554"
"2.75","-20","80","0.555"
"2.75","0","-80","0.564"
"2.75","0","-60","0.56"
"2.75","0","-40","0.556"
"2.75","0","-20","0.549"
"2.75","0","0","0.545"
"2.75","0","20","0.551"
"2.75","0","40","0.554"
"2.75","0","60","0.555"
"2.75","0","80","0.555"
"2.75","20","-80","0.569"
"2.75","20","-60","0.563"
"2.75","20","-40","0.56"
"2.75","20","-20","0.551"
"2.75","20","0","0.548"
"2.75","20","20","0.556"
"2.75","20","40","0.56"
"2.75","20","60","0.56"
"2.75","20","80","0.562"
"2.75","40","-80","0.567"
"2.75","40","-60","0.561"
"2.75","40","-40","0.558"
"2.75","40","-20","0.552"
"2.75","40","0","0.551"
"2.75","40","20","0.556"
"2.75","40","40","0.559"
"2.75","40","60","0.561"
"2.75","40","80","0.566"
"2.75","60","-80","0.573"
"2.75","60","-60","0.568"
"2.75","60","-40","0.562"
"2.75","60","-20","0.557"
"2.75","60","0","0.553"
"2.75","60","20","0.557"
"2.75","60","40","0.562"
