"Name","Runtime","Notes","Tags","copy_dropout","decay_rate","decay_steps","lambda_L1","lambda_L2","lambda_tv","learning_rate","num_iter","num_samples","optimizer","use_BTV","avg_standard_iou","avg_aug_SR_iou"
"rare-sweep-130","2939","-","","0.1","0.9","80","0.9808857810389608","0.7772077277980766","0.921542629119226","0.01","300","500","adam","true","0.8724168970462777","0.8765880939088043"
"helpful-sweep-78","2069","-","","0.2","0.6000000000000001","60","0.9796139482262156","0.28596344339252666","0.6622833696313483","0.001","600","500","adam","false","0.8724168970462777","0.8765879390876865"
"rare-sweep-100","2158","-","","0.1","0.4","80","0.967452808198019","0.5463922657544109","0.7959917497976181","0.001","600","500","adam","false","0.8724168970462777","0.8765870567306686"
"dark-sweep-79","1927","-","","0.1","0.6000000000000001","60","0.5965252159138785","0.716730920880185","0.9800793423627324","0.1","500","500","adam","false","0.8724168970462777","0.8765797423836732"
"happy-sweep-73","1963","-","","0.1","0.65","40","0.8142176291873485","0.3350651133548377","0.9138049570804456","0.001","500","500","adam","false","0.8724168970462777","0.8765782531554236"
"graceful-sweep-105","2168","-","","0.1","0.5","60","0.7894059433539123","0.9799909580733076","0.7836786170255623","0.001","600","500","adam","false","0.8724168970462777","0.8765781022536978"
"avid-sweep-94","1837","-","","0.1","0.45","80","0.5593461125839622","0.29566367154850304","0.9014184000422848","0.001","500","500","adam","false","0.8724168970462777","0.8765685193312338"
"tough-sweep-113","1838","-","","0.1","0.55","80","0.9506317601121724","0.974427436271442","0.7727002315112872","0.001","500","500","adam","false","0.8724168970462777","0.8765682106014703"
"fine-sweep-127","1942","-","","0","0.30000000000000004","40","0.5673792143255377","0.8556892776127178","0.8183106430867856","0.1","500","500","adam","false","0.8724168970462777","0.8765420516250008"
"smart-sweep-35","1397","-","","0.2","0.5","60","0.015814391662856142","0.6343074036213453","0.6870073928169245","0.001","400","500","adam","false","0.8724168970462777","0.8765326316335318"
"wandering-sweep-76","2231","-","","0.1","0.4","60","0.707607115571411","0.5709694590622321","0.9342857604335262","0.1","600","500","adam","false","0.8724168970462777","0.8765269534743659"
"logical-sweep-87","4225","-","","0.1","0.8500000000000001","60","0.634070100944071","0.4255115951831462","0.3176370333536337","0.01","500","500","adam","true","0.8724168970462777","0.8765242916416214"
"balmy-sweep-92","4591","-","","0.2","0.8","60","0.8598881752115051","0.6995469385785432","0.7622878861163823","0.001","600","500","adam","true","0.8724168970462777","0.8765208701754212"
"decent-sweep-91","3280","-","","0.1","0.55","80","0.8010301819248359","0.40221834945681967","0.5950591884415194","0.01","400","500","adam","true","0.8724168970462777","0.876519434422972"
"fallen-sweep-41","1462","-","","0.2","0.35000000000000003","80","0.2830561744667953","0.994062003452148","0.7962479744477323","0.1","400","500","adam","false","0.8724168970462777","0.8765175134100264"
"fast-sweep-67","2296","-","","0.1","0.4","80","0.6910662028131609","0.5065823727281178","0.8248542206375309","0.01","600","500","adam","false","0.8724168970462777","0.8765068112804882"
"northern-sweep-104","2182","-","","0.1","1","60","0.08521051088666898","0.9872782807370214","0.6902940580743143","0.1","600","500","adam","false","0.8724168970462777","0.8764956361752336"
"comfy-sweep-50","1474","-","","0.2","0.25","80","0.15041589819323586","0.9409438071529176","0.5582993588546068","0.1","400","500","adam","false","0.8724168970462777","0.8764648351516463"
"sandy-sweep-80","1928","-","","0.1","0.5","60","0.7740783459217361","0.1722512467266234","0.730211754101052","0.01","500","500","adam","false","0.8724168970462777","0.8764482045497854"
"devout-sweep-124","1844","-","","0.1","0.5","40","0.8336180976157959","0.22991239775950156","0.7919813130549473","0.01","500","500","adam","false","0.8724168970462777","0.876442791951704"
"wild-sweep-95","4796","-","","0.1","0.8500000000000001","40","0.99224236663312","0.48988964628405607","0.4583277349053082","0.01","600","500","adam","true","0.8724168970462777","0.8764337056961236"
"rose-sweep-71","5063","-","","0.1","0.8","80","0.9123185728413332","0.19848924369673823","0.733472822817779","0.01","600","500","adam","true","0.8724168970462777","0.8764060932036088"
"charmed-sweep-121","2288","-","","0","0.35000000000000003","80","0.8983547962061381","0.5370124212045694","0.8708612448970818","0.1","600","500","adam","false","0.8724168970462777","0.876370396988839"
"fancy-sweep-115","1683","-","","0.2","0.8","80","0.5863492053117328","0.8233195590936021","0.8770489080046009","0.1","500","500","adam","false","0.8724168970462777","0.8763675321730918"
"fresh-sweep-134","2049","-","","0.2","0.4","60","0.6999431482350765","0.8375794333937943","0.9925626212636244","0.1","600","500","adam","false","0.8724168970462777","0.8763606395192517"
"wise-sweep-69","2400","-","","0","0.7000000000000001","60","0.605550137199948","0.4155685912920486","0.5694303886153411","0.01","600","500","adam","false","0.8724168970462777","0.8763414157983751"
"crisp-sweep-137","3746","-","","0.2","0.6000000000000001","80","0.968577449306518","0.18756156758552223","0.946330992686043","0.001","400","500","adam","true","0.8724168970462777","0.876335339253144"
"lyric-sweep-132","1280","-","","0.2","0.05","60","0.4785213583410079","0.8468548765918562","0.7250908466213916","0.1","300","500","adam","false","0.8724168970462777","0.8763303203005921"
"fluent-sweep-5","1597","-","","0.4","0.2","20","0.021260495123884837","0.4718475237120797","0.21034445068636087","0.1","600","500","adagrad","false","0.8724168970462777","0.8763224581671873"
